date,B_total_water-supply,B_total_water-waste,B_water-supply_EC,B_water-supply_pH,B_water-waste_EC,B_water-waste_pH,B_length,B_width
2019-09-18,1655.0,1372.0,0.64,6.3,0.89,6.8,0,0
2019-09-19,393.0,336.0,0.64,6.3,0.89,6.8,,
2019-09-20,393.0,321.0,0.64,6.3,0.89,6.8,,
2019-09-21,391.0,290.0,0.67,6.5,0.94,7.3,,
2019-09-22,392.0,283.0,0.58,6.4,0.85,7.1,,
2019-09-23,390.0,306.0,0.66,6.4,0.84,7.2,,
2019-09-24,391.0,260.0,0.89,6.4,0.82,7.1,,
2019-09-25,391.0,260.0,0.97,6.5,0.8,7.2,,
2019-09-26,393.0,199.0,0.91,6.5,0.81,7.3,,
2019-09-27,393.0,183.0,1.14,6.4,0.82,7.3,,
2019-09-28,393.0,229.0,1.04,6.3,0.82,7.1,,
2019-09-29,389.0,199.0,1.12,6.6,0.98,7.1,,
2019-09-30,,,,,,,,
2019-10-01,393.0,107.0,1.12,6.5,0.99,7.0,,
2019-10-02,491.0,92.0,1.26,6.4,1.01,7.5,,
2019-10-03,392.0,145.0,1.36,6.4,1.02,7.0,,
2019-10-04,293.0,0.0,1.36,6.3,0.96,7.2,9.6,7.48
2019-10-05,390.0,8.0,1.54,6.3,1.36,6.8,,
2019-10-06,393.0,0.0,1.57,6.3,1.42,6.6,,
2019-10-07,487.0,0.0,1.55,6.4,1.58,6.6,,
2019-10-08,293.0,15.0,1.56,6.4,1.59,6.5,,
2019-10-09,491.0,0.0,1.67,6.3,1.63,6.6,,
2019-10-10,493.0,0.0,1.69,6.4,1.76,6.5,,
2019-10-11,493.0,38.0,1.81,6.4,1.67,6.6,16.8,5.95
2019-10-12,99.0,0.0,1.86,6.2,1.8,6.5,,
2019-10-13,592.0,15.0,1.82,6.3,1.74,6.5,,
2019-10-14,394.0,69.0,1.85,6.3,1.8,6.5,,
2019-10-15,496.0,15.0,2.01,6.2,1.87,6.3,,
2019-10-16,395.0,46.0,2.13,6.2,2.07,6.3,,
2019-10-17,299.0,46.0,2.07,6.2,2.02,6.3,,
2019-10-18,298.0,69.0,2.08,6.2,1.86,6.4,18.6,6.87
2019-10-19,278.0,76.0,2.12,6.2,1.78,6.4,,
2019-10-20,298.0,130.0,2.54,6.1,1.74,6.4,,
2019-10-21,241.0,8.0,2.56,6.2,2.34,6.3,,
2019-10-22,161.0,0.0,2.79,6.2,2.56,6.3,,
2019-10-23,380.0,0.0,2.68,6.3,2.69,6.5,,
2019-10-24,399.0,0.0,2.79,6.2,2.76,6.3,,
2019-10-25,300.0,8.0,2.87,6.2,3.17,6.3,,
2019-10-26,399.0,0.0,2.84,6.2,2.8,6.3,,
